Occupation,occupation,Total_employed,Women,Black,Asian,Hispanic_latino
"Total, 16 years and over","total, 16 years and over",148834,46.8,11.7,5.8,16.4
"Management, professional, and related occupations","management, professional, and related occupations",57960,51.5,9.2,7.7,9.1
"Management, business, and financial operations occupations","management, business, and financial operations occupations",24108,43.6,8.2,6.3,9.4
Management occupations,management occupations,16994,39.2,7.3,5.6,9.7
Chief executives,chief executives,1517,27.9,3.6,4.7,5.5
General and operations managers,general and operations managers,899,27.6,6.9,4.7,10.8
Legislators,legislators,13,-,-,-,-
Advertising and promotions managers,advertising and promotions managers,67,53.6,0,5.5,6.6
Marketing and sales managers,marketing and sales managers,1006,43.2,6.2,5.8,9.7
Public relations and fundraising managers,public relations and fundraising managers,61,59.2,10.6,5.2,5.6
Administrative services managers,administrative services managers,195,47.7,9.9,3,7.2
Computer and information systems managers,computer and information systems managers,652,27.2,5.6,14.2,4.8
Financial managers,financial managers,1197,49.6,7.2,7.9,9.4
Compensation and benefits managers,compensation and benefits managers,23,-,-,-,-
Human resources managers,human resources managers,290,73.3,11.9,2.2,10.8
Training and development managers,training and development managers,41,-,-,-,-
Industrial production managers,industrial production managers,280,18.3,5.1,4.3,6.7
Purchasing managers,purchasing managers,198,44.8,11.4,7.2,12.9
"Transportation, storage, and distribution managers","transportation, storage, and distribution managers",263,21.1,8.2,3.4,19.2
"Farmers, ranchers, and other agricultural managers","farmers, ranchers, and other agricultural managers",1052,23.9,0.9,0.6,4.3
Construction managers,construction managers,737,6.7,3.3,3.2,12.9
Education administrators,education administrators,928,65.7,13.4,3.8,9.3
Architectural and engineering managers,architectural and engineering managers,110,7.4,6.3,7.6,9
Food service managers,food service managers,1192,47.1,11.1,10.6,17
Funeral service managers,funeral service managers,15,-,-,-,-
Gaming managers,gaming managers,23,-,-,-,-
Lodging managers,lodging managers,159,53.5,7.2,10.9,16.8
Medical and health services managers,medical and health services managers,636,73.7,13.1,5.2,8
Natural sciences managers,natural sciences managers,25,-,-,-,-
Postmasters and mail superintendents,postmasters and mail superintendents,24,-,-,-,-
"Property, real estate, and community association managers","property, real estate, and community association managers",685,50.9,7.6,3.6,11.1
Social and community service managers,social and community service managers,378,67.4,12.1,5.3,9.9
Emergency management directors,emergency management directors,10,-,-,-,-
"Managers, all other","managers, all other",4315,34.3,7.2,5.4,10.1
Business and financial operations occupations,business and financial operations occupations,7114,54.3,10.3,7.9,8.8
"Agents and business managers of artists, performers, and athletes","agents and business managers of artists, performers, and athletes",46,-,-,-,-
"Buyers and purchasing agents, farm products","buyers and purchasing agents, farm products",10,-,-,-,-
"Wholesale and retail buyers, except farm products","wholesale and retail buyers, except farm products",190,52.7,6.3,7.5,11
"Purchasing agents, except wholesale, retail, and farm products","purchasing agents, except wholesale, retail, and farm products",280,49.7,6.7,5.8,11.5
