NAME	Name	freq	 cum_freq	rank
JAMES	James	3.318	3.318	1
JOHN	John	3.271	6.589	2
ROBERT	Robert	3.143	9.732	3
MICHAEL	Michael	2.629	12.361	4
WILLIAM	William	2.451	14.812	5
DAVID	David	2.363	17.176	6
RICHARD	Richard	1.703	18.878	7
CHARLES	Charles	1.523	20.401	8
JOSEPH	Joseph	1.404	21.805	9
THOMAS	Thomas	1.38	23.185	10
CHRISTOPHER	Christopher	1.035	24.22	11
DANIEL	Daniel	0.974	25.194	12
PAUL	Paul	0.948	26.142	13
MARK	Mark	0.938	27.081	14
DONALD	Donald	0.931	28.012	15
GEORGE	George	0.927	28.939	16
KENNETH	Kenneth	0.826	29.766	17
STEVEN	Steven	0.78	30.546	18
EDWARD	Edward	0.779	31.325	19
BRIAN	Brian	0.736	32.061	20
RONALD	Ronald	0.725	32.787	21
ANTHONY	Anthony	0.721	33.508	22
KEVIN	Kevin	0.671	34.179	23
JASON	Jason	0.66	34.839	24
MATTHEW	Matthew	0.657	35.496	25
GARY	Gary	0.65	36.147	26
TIMOTHY	Timothy	0.64	36.786	27
JOSE	Jose	0.613	37.399	28
LARRY	Larry	0.598	37.997	29
JEFFREY	Jeffrey	0.591	38.588	30
FRANK	Frank	0.581	39.169	31
SCOTT	Scott	0.546	39.715	32
ERIC	Eric	0.544	40.259	33
STEPHEN	Stephen	0.54	40.799	34
ANDREW	Andrew	0.537	41.335	35
RAYMOND	Raymond	0.488	41.824	36
GREGORY	Gregory	0.441	42.265	37
JOSHUA	Joshua	0.435	42.7	38
JERRY	Jerry	0.432	43.132	39
DENNIS	Dennis	0.415	43.547	40
WALTER	Walter	0.399	43.946	41
PATRICK	Patrick	0.389	44.335	42
PETER	Peter	0.381	44.716	43
HAROLD	Harold	0.371	45.087	44
DOUGLAS	Douglas	0.367	45.454	45
HENRY	Henry	0.365	45.819	46
CARL	Carl	0.346	46.165	47
ARTHUR	Arthur	0.335	46.5	48
RYAN	Ryan	0.328	46.828	49
ROGER	Roger	0.322	47.15	50
JOE	Joe	0.321	47.471	51
JUAN	Juan	0.316	47.786	52
JACK	Jack	0.315	48.102	53
ALBERT	Albert	0.314	48.415	54
JONATHAN	Jonathan	0.313	48.729	55
JUSTIN	Justin	0.311	49.04	56
TERRY	Terry	0.311	49.351	57
GERALD	Gerald	0.309	49.66	58
KEITH	Keith	0.308	49.968	59
SAMUEL	Samuel	0.306	50.274	60
WILLIE	Willie	0.302	50.576	61
RALPH	Ralph	0.282	50.859	62
LAWRENCE	Lawrence	0.282	51.141	63
